date,heart_rate_mean,heart_rate_min,heart_rate_max,heart_rate_std,hrv_mean,hrv_min,hrv_max,hrv_std,steps_sum,steps_max,resting_hr_mean,vo2max_mean,respiratory_rate_mean,respiratory_rate_min,respiratory_rate_max,spo2_percent_mean,spo2_percent_min,active_energy_cal_sum,basal_energy_cal_sum,distance_walk_run_m_sum,flights_sum,exercise_minutes_sum,stand_minutes_sum,sleeping_wrist_temp_degF_mean,sleep_minutes_sum
2018-03-27,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5918.0,636.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.056,872.872,2.230648006,56.0,56.0,112.0,96.2188,0.9333333333333296
2018-03-28,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5354.0,364.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.804,841.698,1.93787031,54.0,54.0,108.0,96.2188,0.8999999999999965
2018-03-29,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6290.0,638.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.5600000000000005,935.22,2.247575486,60.0,60.0,120.0,96.2188,0.999999999999996
2018-03-30,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2856.0,262.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.7800000000000002,467.61,1.083819964,30.0,30.0,60.0,96.2188,0.499999999999998
2018-03-31,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,2249.0,197.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.67,701.415,0.826287044,45.0,45.0,90.0,96.21880000000002,0.749999999999997
2018-04-01,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6785.0,415.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,9.324,1153.4379999999999,2.62007969,74.0,74.0,148.0,96.2188,1.2333333333333285
2018-04-02,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5367.0,423.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.056,872.872,2.27265244,56.0,56.0,112.0,96.2188,0.9333333333333296
2018-04-03,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,7146.0,377.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.5600000000000005,935.22,2.81892042,60.0,60.0,120.0,96.2188,0.999999999999996
2018-04-04,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4015.0,316.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.678,826.111,1.404914267,53.0,53.0,106.0,96.2188,0.8833333333333299
2018-04-05,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4472.0,407.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.552,810.524,1.6959834908,52.0,52.0,104.0,96.2188,0.8666666666666633
